time,episode,episode_time,mode,pos_x,pos_y,pos_z,target_x,target_y,target_z,position_error,speed,angular_speed,energy_proxy,average_thrust,average_health,m0_health,m0_cmd,m0_pitch_deg,m0_yaw_deg,m0_effective_thrust,m0_energy,m1_health,m1_cmd,m1_pitch_deg,m1_yaw_deg,m1_effective_thrust,m1_energy,m2_health,m2_cmd,m2_pitch_deg,m2_yaw_deg,m2_effective_thrust,m2_energy,m3_health,m3_cmd,m3_pitch_deg,m3_yaw_deg,m3_effective_thrust,m3_energy,m4_health,m4_cmd,m4_pitch_deg,m4_yaw_deg,m4_effective_thrust,m4_energy,m5_health,m5_cmd,m5_pitch_deg,m5_yaw_deg,m5_effective_thrust,m5_energy
0.18039,1,0.2,BaselineAllocator,-0.0176961,2.02467,-0.0559629,-0.462162,2.19721,-1.5282,1.54751,0.535909,0.637354,0.0111083,0.0843343,1,1,0,0,0,0,0,1,0.101201,-22.7912,5.1138,3.54204,0.00222165,1,0.101201,-20.6263,63.1559,3.54204,0.00222165,1,0.101201,-20.6263,-63.1559,3.54204,0.00222165,1,0.101201,64.5153,10.8215,3.54204,0.00222165,1,0.101201,-64.5153,10.8215,3.54204,0.00222165
0.3819,1,0.4,BaselineAllocator,-0.057385,2.07377,-0.184126,-0.462162,2.19721,-1.5282,1.40912,0.831731,0.52456,0.0205702,0.0787076,1,1,0,0,0,0,0,1,0.0944491,-19.8347,2.38585,3.30572,0.00411404,1,0.0944491,-17.9239,63.6294,3.30572,0.00411404,1,0.0944491,-17.9239,-63.6294,3.30572,0.00411404,1,0.0944491,64.8937,5.10146,3.30572,0.00411404,1,0.0944491,-64.8937,5.10147,3.30572,0.00411404
0.582441,1,0.6,BaselineAllocator,-0.108138,2.12615,-0.353006,-0.462162,2.19721,-1.5282,1.22942,0.974239,0.468393,0.0290404,0.075358,1,1,0,0,0,0,0,1,0.0904295,-14.9221,0.634528,3.16503,0.00580808,1,0.0904295,-13.4969,64.2388,3.16503,0.00580808,1,0.0904295,-13.4969,-64.2388,3.16503,0.00580808,1,0.0904295,64.9925,1.36047,3.16503,0.00580808,1,0.0904295,-64.9925,1.36047,3.16503,0.00580808
0.783765,1,0.799999,BaselineAllocator,-0.163276,2.17013,-0.54138,-0.462162,2.19721,-1.5282,1.03144,1.02037,0.42415,0.0370133,0.0738626,1,1,0,0,0,0,0,1,0.0886351,-9.63777,-0.07029,3.10223,0.00740265,1,0.0886351,-8.72736,64.6866,3.10223,0.00740265,1,0.0886351,-8.72736,-64.6866,3.10223,0.00740265,1,0.0886351,64.9999,-0.150743,3.10223,0.00740265,1,0.0886351,-64.9999,-0.150731,3.10223,0.00740265
0.984477,1,0.999999,BaselineAllocator,-0.218717,2.2015,-0.73414,-0.462162,2.19721,-1.5282,0.83055,1.00327,0.380685,0.0448214,0.0735864,1,1,0,0,0,0,0,1,0.0883037,-4.86909,0.00416726,3.09063,0.00896427,1,0.0883037,-4.41199,64.9206,3.09063,0.00896427,1,0.0883037,-4.41199,-64.9206,3.09063,0.00896427,1,0.0883037,65,0.00893332,3.09063,0.00896427,1,0.0883037,-65,0.00893938,3.09063,0.00896427
1.18483,1,1.2,BaselineAllocator,-0.271822,2.22066,-0.920358,-0.462162,2.19721,-1.5282,0.637377,0.942976,0.338623,0.0526543,0.0739496,1,1,0,0,0,0,0,1,0.0887396,-0.974926,0.551214,3.10589,0.0105309,1,0.0887396,-0.883833,64.9968,3.10589,0.0105309,1,0.0887396,-0.883831,-64.9968,3.10589,0.0105309,1,0.0887396,64.9943,1.18218,3.10589,0.0105309,1,0.0887396,-64.9943,1.18219,3.10589,0.0105309
1.3857,1,1.4,BaselineAllocator,-0.320849,2.2302,-1.09235,-0.462162,2.19721,-1.5282,0.459368,0.853213,0.29942,0.0605969,0.0745391,1,1,0,0,0,0,0,1,0.089447,1.97984,1.31572,3.13064,0.0121194,1,0.089447,1.79484,64.9869,3.13064,0.0121194,1,0.089447,1.79484,-64.9869,3.13064,0.0121194,1,0.089447,64.9676,2.81918,3.13064,0.0121194,1,0.089447,-64.9676,2.81919,3.13064,0.0121194
1.5866,1,1.6,BaselineAllocator,-0.364688,2.23319,-1.2451,-0.462162,2.19721,-1.5282,0.301567,0.744791,0.263836,0.068667,0.0751107,1,1,0,0,0,0,0,1,0.0901329,4.06754,2.10858,3.15465,0.0137334,1,0.0901329,3.68839,64.9445,3.15465,0.0137334,1,0.0901329,3.68839,-64.9445,3.15465,0.0137334,1,0.0901329,64.9169,4.51151,3.15465,0.0137334,1,0.0901329,-64.9169,4.51152,3.15465,0.0137334
1.78671,1,1.8,BaselineAllocator,-0.402712,2.23237,-1.37574,-0.462162,2.19721,-1.5282,0.167373,0.626803,0.232118,0.0768462,0.0755504,1,1,0,0,0,0,0,1,0.0906605,5.40923,2.8026,3.17312,0.0153692,1,0.0906605,4.90698,64.9017,3.17312,0.0153692,1,0.0906605,4.90698,-64.9017,3.17312,0.0153692,1,0.0906605,64.8535,5.98597,3.17312,0.0153692,1,0.0906605,-64.8535,5.98597,3.17312,0.0153692
1.98713,1,2,BaselineAllocator,-0.434665,2.2297,-1.4832,-0.462162,2.19721,-1.5282,0.0619385,0.506865,0.204243,0.0851018,0.0758293,1,1,0,0,0,0,0,1,0.0909951,6.13753,3.32306,3.18483,0.0170204,1,0.0909951,5.56988,64.8732,3.18483,0.0170204,1,0.0909951,5.56988,-64.8732,3.18483,0.0170204,1,0.0909951,64.7942,7.08599,3.18483,0.0170204,1,0.0909951,-64.7942,7.08598,3.18483,0.0170204
