time,episode,episode_time,mode,pos_x,pos_y,pos_z,target_x,target_y,target_z,position_error,speed,angular_speed,energy_proxy,average_thrust,average_health,m0_health,m0_cmd,m0_pitch_deg,m0_yaw_deg,m0_effective_thrust,m0_energy,m1_health,m1_cmd,m1_pitch_deg,m1_yaw_deg,m1_effective_thrust,m1_energy,m2_health,m2_cmd,m2_pitch_deg,m2_yaw_deg,m2_effective_thrust,m2_energy,m3_health,m3_cmd,m3_pitch_deg,m3_yaw_deg,m3_effective_thrust,m3_energy,m4_health,m4_cmd,m4_pitch_deg,m4_yaw_deg,m4_effective_thrust,m4_energy,m5_health,m5_cmd,m5_pitch_deg,m5_yaw_deg,m5_effective_thrust,m5_energy
0.180829,1,0.2,BaselineAllocator,0.0453478,1.98449,0.0794018,0.843749,1.68273,1.51187,1.66747,0.70644,1.25778,0.00988066,0.0774195,1,1,0,0,0,0,0.00075901,1,0.0929034,19.8968,-6.81264,3.25162,0.00182433,1,0.0929034,18.082,63.6039,3.25162,0.00182433,1,0.0929034,18.082,-63.6039,3.25162,0.00182433,1,0.0929034,64.1461,-14.2726,3.25162,0.00182433,1,0.0929034,-64.1461,-14.2726,3.25162,0.00182433
0.382386,1,0.4,BaselineAllocator,0.132183,1.95968,0.231952,0.843749,1.68273,1.51187,1.49037,1.00365,1.10032,0.0181921,0.0751079,1,1,0,0,0,0,0.00075901,1,0.0901295,16.8138,-1.76325,3.15453,0.00348662,1,0.0901295,15.2051,64.0269,3.15453,0.00348662,1,0.0901295,15.2051,-64.0269,3.15453,0.00348662,1,0.0901295,64.9419,-3.77524,3.15453,0.00348662,1,0.0901295,-64.9419,-3.77525,3.15453,0.00348662
0.583184,1,0.6,BaselineAllocator,0.237368,1.92582,0.419617,0.843749,1.68273,1.51187,1.27271,1.13959,0.969665,0.0262203,0.0745062,1,1,0,0,0,0,0.00075901,1,0.0894075,11.5808,0.658151,3.12926,0.00509225,1,0.0894075,10.4835,64.5456,3.12926,0.00509225,1,0.0894074,10.4835,-64.5456,3.12926,0.00509225,1,0.0894075,64.9919,1.4111,3.12926,0.00509225,1,0.0894074,-64.9919,1.4111,3.12926,0.00509225
0.784202,1,0.799999,BaselineAllocator,0.34809,1.88495,0.62038,0.96579,1.68273,1.51187,1.10327,1.17478,0.863841,0.0342605,0.0751122,1,1,0,0,0,0,0.00075901,1,0.0901346,7.70979,-0.476872,3.15471,0.0067003,1,0.0901346,6.9839,64.8001,3.15471,0.0067003,1,0.0901346,6.98391,-64.8001,3.15471,0.0067003,1,0.0901346,64.9957,-1.02255,3.15471,0.0067003,1,0.0901346,-64.9957,-1.02253,3.15471,0.0067003
0.985352,1,0.999999,BaselineAllocator,0.465797,1.84207,0.819415,1.26752,1.68273,1.51187,1.07128,1.17419,0.768581,0.0425319,0.0763359,1,1,0,0,0,0,0.00075901,1,0.0916031,7.36911,-3.96429,3.20611,0.00835458,1,0.0916031,6.69121,64.8166,3.20611,0.00835458,1,0.0916031,6.6912,-64.8166,3.20611,0.00835458,1,0.0916031,64.7076,-8.43324,3.20611,0.00835458,1,0.0916031,-64.7076,-8.43324,3.20611,0.00835458
1.18611,1,1.2,BaselineAllocator,0.599823,1.80269,1.00661,1.56895,1.68273,1.51187,1.0995,1.16375,0.683142,0.0510536,0.0773628,1,1,0,0,0,0,0.00075901,1,0.0928353,8.09277,-6.643,3.24924,0.0100589,1,0.0928353,7.379,64.7767,3.24924,0.0100589,1,0.0928353,7.379,-64.7767,3.24924,0.0100589,1,0.0928353,64.1874,-13.9328,3.24924,0.0100589,1,0.0928353,-64.1874,-13.9328,3.24924,0.0100589
1.38649,1,1.4,BaselineAllocator,0.7559,1.77051,1.17535,1.86905,1.68273,1.51187,1.16621,1.16199,0.605947,0.059756,0.0779795,1,1,0,0,0,0,0.00075901,1,0.0935755,9.24615,-8.34638,3.27514,0.0117994,1,0.0935755,8.46123,64.7057,3.27514,0.0117994,1,0.0935755,8.46123,-64.7056,3.27514,0.0117994,1,0.0935755,63.7288,-17.2909,3.27514,0.0117994,1,0.0935755,-63.7288,-17.2909,3.27514,0.0117994
1.58707,1,1.6,BaselineAllocator,0.936784,1.74712,1.32171,2.16997,1.68273,1.51187,1.24942,1.18076,0.536743,0.0685465,0.0781902,1,1,0,0,0,0,0.00075901,1,0.0938282,10.477,-9.15783,3.28399,0.0135575,1,0.0938282,9.60535,64.6195,3.28399,0.0135575,1,0.0938282,9.60536,-64.6195,3.28399,0.0135575,1,0.0938282,63.4771,-18.8452,3.28399,0.0135575,1,0.0938282,-63.4771,-18.8453,3.28399,0.0135575
1.78801,1,1.8,BaselineAllocator,1.14178,1.73617,1.44393,2.38639,1.88801,1.51187,1.25567,1.20738,0.47529,0.0777567,0.0813851,1,1,0,0,0,0,0.00075901,1,0.0976622,9.81403,-8.72939,3.41818,0.0153995,1,0.0976622,8.9886,64.6674,3.41818,0.0153995,1,0.0976622,8.9886,-64.6674,3.41818,0.0153995,1,0.0976622,63.6126,-18.0284,3.41818,0.0153995,1,0.0976622,-63.6126,-18.0284,3.41818,0.0153995
1.98862,1,2,BaselineAllocator,1.36522,1.751,1.54206,2.59946,2.10108,1.51187,1.28329,1.23954,0.421631,0.087561,0.0831938,1,1,0,0,0,0,0.00075901,1,0.0998325,9.08299,-8.15915,3.49414,0.0173604,1,0.0998325,8.30835,64.7163,3.49414,0.0173604,1,0.0998325,8.30834,-64.7163,3.49414,0.0173604,1,0.0998325,63.7838,-16.9279,3.49414,0.0173604,1,0.0998325,-63.7838,-16.9279,3.49414,0.0173604
2.18911,1,2.2,BaselineAllocator,1.60156,1.79982,1.61727,2.81187,2.31349,1.51187,1.31902,1.28936,0.374389,0.0976246,0.0837669,1,1,0,0,0,0,0.00075901,1,0.10052,8.34955,-7.50234,3.51821,0.0193731,1,0.10052,7.62673,64.7613,3.51821,0.0193731,1,0.10052,7.62673,-64.7613,3.51821,0.0193731,1,0.10052,63.968,-15.6423,3.51821,0.0193731,1,0.10052,-63.968,-15.6423,3.51821,0.0193731
2.38987,1,2.4,BaselineAllocator,1.84555,1.88485,1.67144,2.88871,2.55536,1.51187,1.25029,1.34348,0.335408,0.107771,0.0840271,1,1,0,0,0,0,0.00075901,1,0.100833,5.6488,-6.96565,3.52914,0.0214024,1,0.100833,5.15585,64.8914,3.52914,0.0214024,1,0.100833,5.15585,-64.8914,3.52914,0.0214024,1,0.100833,64.108,-14.5782,3.52914,0.0214024,1,0.100833,-64.108,-14.5782,3.52914,0.0214024
2.59068,1,2.6,BaselineAllocator,2.08528,2.00074,1.70688,2.88871,2.55536,1.51187,0.995557,1.3305,0.305561,0.117247,0.0790454,1,1,0,0,0,0,0.00075901,1,0.0948545,2.00259,-7.08924,3.31991,0.0232976,1,0.0948545,1.82885,64.9864,3.31991,0.0232976,1,0.0948545,1.82886,-64.9864,3.31991,0.0232976,1,0.0948545,64.0766,-14.8242,3.31991,0.0232976,1,0.0948545,-64.0766,-14.8242,3.31991,0.0232976
2.79075,1,2.8,BaselineAllocator,2.30871,2.12637,1.7259,2.80426,2.55536,1.51187,0.689501,1.23639,0.277627,0.125837,0.0760836,1,1,0,0,0,0,0.00075901,1,0.0913003,-2.46299,-7.51301,3.19551,0.0250156,1,0.0913003,-2.25141,64.9794,3.19551,0.0250156,1,0.0913003,-2.25141,-64.9794,3.19551,0.0250156,1,0.0913003,63.9652,-15.6634,3.19551,0.0250156,1,0.0913003,-63.9652,-15.6634,3.19551,0.0250156
2.99122,1,3,BaselineAllocator,2.50091,2.24697,1.73093,2.50378,2.55536,1.51187,0.378285,1.03802,0.269577,0.134076,0.0755285,1,1,0,0,0,0,0.00075901,1,0.0906342,-9.76071,-9.07035,3.1722,0.0266633,1,0.0906342,-8.94803,64.6704,3.1722,0.0266633,1,0.0906342,-8.94803,-64.6704,3.1722,0.0266634,1,0.0906342,63.5052,-18.6792,3.1722,0.0266633,1,0.0906342,-63.5052,-18.6792,3.1722,0.0266633
3.1923,1,3.2,BaselineAllocator,2.64246,2.35673,1.72437,2.20217,2.55536,1.51187,0.5277,0.777428,0.247428,0.142337,0.0759775,1,1,0,0,0,0,0.00075901,1,0.091173,-15.401,-10.6588,3.19106,0.0283155,1,0.091173,-14.1589,64.16,3.19106,0.0283155,1,0.091173,-14.1589,-64.16,3.19106,0.0283155,1,0.091173,62.9576,-21.6356,3.19106,0.0283155,1,0.091173,-62.9576,-21.6356,3.19106,0.0283155
3.39277,1,3.4,BaselineAllocator,2.72151,2.45396,1.70848,1.91937,2.51165,1.51187,0.827898,0.52599,0.21325,0.150689,0.0756774,1,1,0,0,0,0,0.00075901,1,0.0908128,-19.2331,-11.9523,3.17845,0.0299861,1,0.0908128,-17.7236,63.6613,3.17845,0.0299861,1,0.0908128,-17.7236,-63.6613,3.17845,0.0299861,1,0.0908128,62.4564,-23.947,3.17845,0.0299861,1,0.0908128,-62.4564,-23.947,3.17845,0.0299861
3.59338,1,3.6,BaselineAllocator,2.73458,2.53055,1.68552,1.69595,2.32449,1.51187,1.07302,0.343888,0.171216,0.158435,0.0719217,1,1,0,0,0,0,0.00075901,1,0.086306,-21.0569,-12.5624,3.02071,0.0315352,1,0.086306,-19.4239,63.3766,3.02071,0.0315352,1,0.086306,-19.4239,-63.3766,3.02071,0.0315352,1,0.086306,62.2036,-25.006,3.02071,0.0315352,1,0.086306,-62.2036,-25.0061,3.02071,0.0315352
3.79344,1,3.8,BaselineAllocator,2.68437,2.57498,1.65788,1.39627,2.32449,1.51187,1.32033,0.445523,0.147335,0.166105,0.0737388,1,1,0,0,0,0,0.00075901,1,0.0884866,-21.6734,-12.4645,3.09703,0.0330692,1,0.0884866,-19.9779,63.277,3.09703,0.0330692,1,0.0884866,-19.9779,-63.277,3.09703,0.0330692,1,0.0884866,62.2449,-24.8375,3.09703,0.0330692,1,0.0884866,-62.2449,-24.8375,3.09703,0.0330692
3.99441,1,4,BaselineAllocator,2.57365,2.59408,1.62796,1.09454,2.32449,1.51187,1.50796,0.701545,0.127713,0.174075,0.0748431,1,1,0,0,0,0,0.00075901,1,0.0898117,-21.37,-11.9682,3.14341,0.0346631,1,0.0898117,-19.6689,63.333,3.14341,0.0346631,1,0.0898117,-19.6689,-63.333,3.14341,0.0346631,1,0.0898117,62.45,-23.9749,3.14341,0.0346631,1,0.0898117,-62.45,-23.9749,3.14341,0.0346631
4.19546,1,4.2,BaselineAllocator,2.40785,2.59505,1.59822,0.835664,2.32449,1.61476,1.59538,0.951441,0.116509,0.182203,0.0751684,1,1,0,0,0,0,0.00075901,1,0.090202,-20.6262,-9.41564,3.15707,0.0362888,1,0.090202,-18.8489,63.4764,3.15707,0.0362888,1,0.090202,-18.8489,-63.4764,3.15707,0.0362888,1,0.090202,63.3928,-19.3325,3.15707,0.0362888,1,0.090202,-63.3927,-19.3325,3.15707,0.0362888
4.39623,1,4.4,BaselineAllocator,2.19726,2.58257,1.57743,0.622656,2.32449,1.82777,1.61514,1.14069,0.125545,0.190359,0.075403,1,1,0,0,0,0,0.00075901,1,0.0904836,-19.7431,-4.67738,3.16693,0.0379201,1,0.0904836,-17.8821,63.6361,3.16693,0.0379201,1,0.0904836,-17.8821,-63.6361,3.16693,0.0379201,1,0.0904836,64.5939,-9.91924,3.16693,0.0379201,1,0.0904836,-64.5939,-9.91923,3.16693,0.0379201
4.59693,1,4.6,BaselineAllocator,1.9541,2.56074,1.577,0.409829,2.32449,2.0406,1.62958,1.28117,0.124675,0.198602,0.0758866,1,1,0,0,0,0,0.00075901,1,0.091064,-18.4741,-0.675858,3.18724,0.0395686,1,0.091064,-16.6907,63.8191,3.18724,0.0395686,1,0.091064,-16.6907,-63.8191,3.18724,0.0395686,1,0.091064,64.9914,-1.44904,3.18724,0.0395686,1,0.091064,-64.9914,-1.44904,3.18724,0.0395686
4.79805,1,4.8,BaselineAllocator,1.68778,2.53358,1.60202,0.122275,2.32449,2.07451,1.64857,1.39515,0.0956277,0.206929,0.0761047,1,1,0,0,0,0,0.00075901,1,0.0913257,-16.5834,-0.518096,3.1964,0.041234,1,0.0913257,-14.9917,64.0549,3.1964,0.041234,1,0.0913257,-14.9917,-64.0549,3.1964,0.041234,1,0.0913257,64.995,-1.11091,3.1964,0.041234,1,0.0913257,-64.995,-1.11089,3.1964,0.041234
4.99867,1,5,BaselineAllocator,1.40322,2.50629,1.64584,-0.128935,2.44519,2.07451,1.59217,1.48053,0.0848166,0.215552,0.0782194,1,1,0,0,0,0,0.00075901,1,0.0938633,-13.4469,-1.00938,3.28522,0.0429585,1,0.0938633,-12.1685,64.3844,3.28522,0.0429585,1,0.0938633,-12.1685,-64.3844,3.28522,0.0429585,1,0.0938633,64.9809,-2.16347,3.28522,0.0429585,1,0.0938633,-64.9809,-2.16348,3.28522,0.0429585
5.19886,1,5.2,BaselineAllocator,1.10591,2.48737,1.69973,-0.374359,2.44519,1.94286,1.50069,1.53521,0.0920246,0.224241,0.0771566,1,1,0,0,0,0,0.00075901,1,0.0925879,-9.87735,-3.14553,3.24058,0.0446964,1,0.0925879,-8.95716,64.6697,3.24058,0.0446964,1,0.0925879,-8.95716,-64.6697,3.24058,0.0446965,1,0.0925879,64.8155,-6.71137,3.24058,0.0446964,1,0.0925879,-64.8155,-6.71137,3.24058,0.0446964
5.39918,1,5.4,BaselineAllocator,0.801617,2.47429,1.75019,-0.586774,2.44519,1.73045,1.38884,1.54457,0.115769,0.23274,0.0766786,1,1,0,0,0,0,0.00075901,1,0.0920143,-5.1257,-5.88048,3.2205,0.0463963,1,0.0920143,-4.66879,64.911,3.2205,0.0463963,1,0.0920143,-4.6688,-64.911,3.2205,0.0463963,1,0.0920143,64.361,-12.3917,3.2205,0.0463963,1,0.0920143,-64.361,-12.3917,3.2205,0.0463963
5.60029,1,5.62,BaselineAllocator,0.466415,2.46448,1.78569,-0.800263,2.44519,1.51696,1.29501,1.52006,0.114592,0.242061,0.0767814,1,1,0,0,0,0,0.00075901,1,0.0921377,-0.668317,-8.23415,3.22482,0.0482604,1,0.0921377,-0.612,64.9985,3.22482,0.0482604,1,0.0921377,-0.61201,-64.9985,3.22482,0.0482604,1,0.0921377,63.7619,-17.0735,3.22482,0.0482604,1,0.0921377,-63.7619,-17.0734,3.22482,0.0482604
