time,episode,episode_time,mode,pos_x,pos_y,pos_z,target_x,target_y,target_z,position_error,speed,angular_speed,energy_proxy,average_thrust,average_health,m0_health,m0_cmd,m0_pitch_deg,m0_yaw_deg,m0_effective_thrust,m0_energy,m1_health,m1_cmd,m1_pitch_deg,m1_yaw_deg,m1_effective_thrust,m1_energy,m2_health,m2_cmd,m2_pitch_deg,m2_yaw_deg,m2_effective_thrust,m2_energy,m3_health,m3_cmd,m3_pitch_deg,m3_yaw_deg,m3_effective_thrust,m3_energy,m4_health,m4_cmd,m4_pitch_deg,m4_yaw_deg,m4_effective_thrust,m4_energy,m5_health,m5_cmd,m5_pitch_deg,m5_yaw_deg,m5_effective_thrust,m5_energy
0.184162,1,0.2,BaselineAllocator,0.0854317,2.14442,0.0546044,0,2,0,0.176457,1.54895,10.6148,0.311902,0.490268,1,1,0.411616,10.397,-13.7368,14.4066,0.0263961,1,0.31754,10.7403,9.34244,11.1139,0.0751596,1,0.534071,35.1821,65,18.6925,0.053181,1,0.380069,-20.9304,-13.1131,13.3024,0.0276333,1,0.577187,-5.25719,-26.4487,20.2016,0.058205,1,0.721124,1.10057,15.7539,25.2393,0.0713267
0.38463,1,0.4,BaselineAllocator,0.215893,2.32384,0.177393,0,2,0,0.427725,1.41932,11.3865,0.620941,0.520855,1,1,0.652765,-42.1905,-9.82007,22.8468,0.077496,1,0.546662,10.2959,23.1016,19.1332,0.130964,1,0,15.4386,14.6151,0,0.0934264,1,0.478977,-12.7279,-1.73586,16.7642,0.0728061,1,0.662229,11.5951,-31.8627,23.178,0.124919,1,0.784497,0.219432,-15.6799,27.4574,0.121329
0.584965,1,0.6,BaselineAllocator,0.582492,2.48223,0.542752,0,2,0,0.93082,3.29748,12,0.959718,0.52835,1,1,0.387445,4.97169,7.52739,13.5606,0.12555,1,0.462393,-4.33066,-3.44624,16.1837,0.223677,1,0.457939,18.5978,33.707,16.0279,0.13538,1,0.485208,-3.02156,-42.0234,16.9823,0.113282,1,0.732882,2.74119,0.855037,25.6509,0.174316,1,0.644232,-28.827,31.8389,22.5481,0.187514
0.785849,1,0.799999,BaselineAllocator,1.09078,2.55423,0.922365,0,2,0,1.53223,3.1938,12,1.25414,0.430242,1,1,0.37056,-18.8818,-3.05558,12.9696,0.163059,1,0.806237,-45.4993,-6.69335,28.2183,0.282272,1,0.455089,23.3477,27.1671,15.9281,0.176981,1,0.344477,-7.21743,2.66124,12.0567,0.152443,1,0.211293,27.6035,-9.79771,7.39527,0.230951,1,0.393795,-16.0021,0.703398,13.7828,0.248436
0.985946,1,0.999999,BaselineAllocator,1.57845,2.46945,1.50671,0,2,0,2.23205,4.0373,12,1.58395,0.411608,1,1,0.323262,-36.7443,-16.9593,11.3142,0.193243,1,0.623989,17.333,-7.18029,21.8396,0.350945,1,0.507082,31.5783,31.5083,17.7479,0.232835,1,0.477536,2.65221,26.0542,16.7137,0.200892,1,0.028775,19.303,9.51485,1.00713,0.283599,1,0.509005,-13.149,-8.37273,17.8152,0.32244
1.18692,1,1.2,BaselineAllocator,2.05665,2.22183,2.20048,0,2,0,3.02012,4.59981,10.6541,1.90698,0.451489,1,1,0.292161,1.3603,13.3259,10.2257,0.250252,1,0.476087,-23.6229,-31.2717,16.6631,0.401341,1,0.764772,-15.1854,-28.4599,26.767,0.298288,1,0.395588,-1.25804,-7.49667,13.8456,0.25264,1,0.334383,-26.5376,-7.33074,11.7034,0.328145,1,0.445944,13.917,15.4576,15.608,0.376311
1.38764,1,1.4,BaselineAllocator,2.61807,1.69124,2.96444,0,2,0,3.96706,5.84686,10.7833,2.23227,0.488212,1,1,0.781577,14.6419,-2.70536,27.3552,0.305303,1,0.612543,2.35738,-9.34611,21.439,0.457383,1,0.255459,-21.7982,12.6235,8.94107,0.352723,1,0.257402,-23.0691,-51.7665,9.00908,0.295102,1,0.409148,4.4347,-6.68844,14.3202,0.379018,1,0.61314,-26.0459,15.8917,21.4599,0.442737
1.58831,1,1.6,BaselineAllocator,3.00276,1.00268,3.75569,0,2,0,4.91085,5.48368,12,2.53356,0.452042,1,1,0.207002,7.39563,-0.712521,7.24507,0.353191,1,0.452814,-21.0612,15.7679,15.8485,0.511389,1,0.459178,-10.7384,10.9737,16.0712,0.39815,1,0.400788,3.51341,22.9196,14.0276,0.342272,1,0.561169,6.24636,-45.2678,19.6409,0.424577,1,0.631302,-39.5839,-1.47436,22.0956,0.50398
1.78925,1,1.8,BaselineAllocator,3.04159,0.499963,4.25092,0,2,0,5.43798,1.75121,6.05109,2.84322,0.543112,1,1,0.917822,-1.56138,-1.36406,32.1238,0.4481,1,0.326511,9.99126,35.3659,11.4279,0.546838,1,0.75795,20.3672,20.8985,26.5282,0.439835,1,0.356892,-5.00349,19.5758,12.4912,0.387578,1,0.513731,12.717,-42.2332,17.9806,0.475798,1,0.385768,-0.620072,2.48383,13.5019,0.545068
1.99021,1,2,BaselineAllocator,2.63548,0.500286,4.34424,0,2,0,5.29786,2.21796,1.69827,3.19298,0.606413,1,1,0.621061,-16.3689,14.3882,21.7371,0.517137,1,0.796855,-4.84108,-7.95273,27.8899,0.59449,1,0.313903,12.9663,-33.7669,10.9866,0.487607,1,0.523071,15.7424,-18.954,18.3075,0.448347,1,0.795544,2.46997,7.10706,27.844,0.55001,1,0.588045,-30.3822,44.8679,20.5816,0.595392
